#Tile	Base	Mean
1107	90-94	-0.06216837064282288
1107	95-99	-0.1308328788176425
1107	100-104	-0.022154725480270088
1107	105-109	0.05876535832449292
1107	110-114	0.04943014699679793
1107	115-119	0.21704160211014312
1107	120-124	0.2922332929493905
1107	125-129	0.2373801219319347
1107	130-134	0.03598572698268043
1107	135-139	0.021176354947037623
1107	140-144	0.055926448834881626
1107	145-149	0.2643807508481899
1107	150-154	-0.024262345092324722
1107	155-159	0.22454129819927005
1107	160-164	-0.02031394104920281
1107	165-169	0.4425764300694368
1107	170-174	0.39109367581730226
1107	175-179	0.2989341116054831
1107	180-184	0.18895474858467054
1107	185-189	0.24884066086198686
1107	190-194	0.25916080085647053
1107	195-199	0.2734855334859745
1107	200-204	0.39175989478449225
1107	205-209	0.2574791428979637
1107	210-214	0.24581131871751438
1107	215-219	0.9265694579758588
1107	220-224	0.40352740680112476
1107	225-229	0.8233795077296975
1107	230-234	0.10792046134304911
1107	235-239	0.6260020430450055
1107	240-244	0.9709933095351317
1107	245-249	0.4417952760894295
1107	250-254	0.35338624593453716
1107	255-259	0.8767630957008947
1107	260-264	0.4136719693971358
1107	265-269	0.77832719801793
1107	270-274	-0.2853227872281927
1107	275-279	0.7490055111709246
1107	280-284	0.09847918966210045
1107	285-289	0.6842717760195356
1107	290-294	-0.47669034033561886
1107	295-299	0.39917786790512366
1107	300-304	0.8174924348142518
1107	305-309	1.0323078656263647
1107	310-314	0.26414057837629557
1107	315-319	0.9813797550061523
1107	320-324	1.2914894069787408
1107	325-326	-0.440455896156557
1108	1	0.13349802174595027
1108	2	0.05053368442597872
1108	3	-0.04963525883477615
1108	4	0.019678490004473304
1108	5	-0.03698236020311185
1108	6	0.08154281779060568
1108	7	0.02893184367148649
1108	8	0.08045513303796525
1108	9	-0.1471269746856123
1108	10-14	0.07314892031494935
1108	15-19	0.024476912209301815
1108	20-24	-0.018176244035643663
1108	25-29	0.08252631661355991
1108	30-34	-0.0028224066537063663
1108	35-39	-0.14813204260600088
1108	40-44	-0.03213265100151119
1108	45-49	0.10138823353686632
1108	50-54	0.11439550559219924
1108	55-59	0.05979849568914375
1108	60-64	0.18025515144763204
1108	65-69	0.10243513622108225
1108	70-74	0.21769340858846675
1108	75-79	0.15990009614711198
1108	80-84	0.08530350092192407
1108	85-89	-0.08319155125374067
1108	90-94	-0.14749466196337124
1108	95-99	-0.15917527105091978
1108	100-104	-0.22834383428961758
1108	105-109	-0.28135702228604487
1108	110-114	-0.0669784264828408
1108	115-119	0.17629364463569175
1108	120-124	0.037187656604402264
1108	125-129	0.017718890605237902
1108	130-134	-0.1053262752051296
1108	135-139	-0.10760701769850556
1108	140-144	-0.3185206164233847
1108	145-149	-0.11181827147430567
1108	150-154	-0.33378615461614203
1108	155-159	0.05372633904978841
1108	160-164	-0.17320253367218896
1108	165-169	0.10034828252901207
1108	170-174	0.06982577167072179
1108	175-179	0.08251186431461832
1108	180-184	0.3755663781611247
1108	185-189	0.5012592162238292
1108	190-194	0.43658362928432837
1108	195-199	0.29423212357929884
1108	200-204	0.34682775107273045
1108	205-209	0.47395779466017274
1108	210-214	0.6634710459249717
1108	215-219	0.7919695878770696
1108	220-224	0.6107215407361011
1108	225-229	0.3408392554478823
1108	230-234	0.5012254215180789
1108	235-239	0.4630119223736102
1108	240-244	0.9737400363665643
1108	245-249	0.8664816330442733
1108	250-254	0.781279111623526
1108	255-259	0.6051875308015795
1108	260-264	1.0003964079162557
1108	265-269	0.6921821872497951
1108	270-274	-0.08385968942625155
1108	275-279	1.3653064033871125
1108	280-284	1.4402526829790254
1108	285-289	1.1727909022629994
1108	290-294	1.1580223387058446
1108	295-299	1.3682408699903768
1108	300-304	1.2871570845937583
1108	305-309	0.7936964411570777
1108	310-314	0.7307388759867983
1108	315-319	0.6484463806513858
1108	320-324	0.712179592600723
1108	325-326	-0.25316313985806005
1109	1	0.0063362117483194424
1109	2	-0.09449796007261568
1109	3	0.08132558321349137
1109	4	0.0718242239199256
1109	5	0.03336319095267015
1109	6	0.1992874280725303
1109	7	0.1470402810762934
1109	8	-0.008014085495219092
1109	9	-0.08954921721446851
1109	10-14	0.18517890643874324
1109	15-19	0.18293293143291578
1109	20-24	0.05952030722168189
1109	25-29	0.10304108968696823
1109	30-34	0.07328853523548418
1109	35-39	0.2015312057779255
1109	40-44	0.04405782518895762
1109	45-49	0.13191925191436127
1109	50-54	0.013625545867029132
1109	55-59	0.23498887034646998
1109	60-64	0.19529728770513088
1109	65-69	0.22547300808624726
1109	70-74	0.29872193940377656
1109	75-79	0.25421931637252015
1109	80-84	0.07295199315463208
1109	85-89	-0.035201907635105556
1109	90-94	-0.048048017633995244
1109	95-99	-0.13153456302642041
1109	100-104	-0.14217772605528012
1109	105-109	-0.22272501226810704
1109	110-114	-0.022158309381268282
1109	115-119	0.1800706778370369
1109	120-124	-0.16750486717126734
1109	125-129	-0.10030832027911885
1109	130-134	-0.07557706208704928
1109	135-139	0.10865520858505562
1109	140-144	0.10023255648756901
1109	145-149	-0.15230799970390763
1109	150-154	0.04572107115973978
1109	155-159	-0.029810060584694043
1109	160-164	-0.18681643694493744
1109	165-169	0.09998953206365258
1109	170-174	-0.307628792244401
1109	175-179	0.14930037076196356
1109	180-184	0.3306599578815792
1109	185-189	0.3568316939711451
1109	190-194	0.43337348950701937
1109	195-199	0.39200516314338785
1109	200-204	0.38702810982319846
1109	205-209	0.31354387784966775
1109	210-214	0.7149280466357126
1109	215-219	0.7184375880124492
1109	220-224	0.6204094955200077
1109	225-229	0.06443386742203216
1109	230-234	0.19806604831606478
1109	235-239	0.12012939622881902
1109	240-244	0.03167315986472374
1109	245-249	0.7151887775936387
1109	250-254	0.36886329952754693
1109	255-259	0.7046087918433059
1109	260-264	0.26873667934821555
1109	265-269	1.3636818318837776
1109	270-274	0.19321750961256257
1109	275-279	0.32978503065890763
1109	280-284	1.2455628667540317
1109	285-289	0.7378381151780147
1109	290-294	1.106824247529076
1109	295-299	0.640627237472696
1109	300-304	0.3131664933323819
1109	305-309	0.6351862709198315
1109	310-314	-0.40336610929089645
1109	315-319	1.006327045355082
1109	320-324	0.7105432166573102
1109	325-326	0.2783079062718343
1110	1	-0.1465226821877934
1110	2	-0.017419583837842367
1110	3	0.14263830610959616
1110	4	0.04191246720738917
1110	5	0.013651271175859847
1110	6	0.08544471299685341
1110	7	0.04199693592912013
1110	8	0.08397025145991677
1110	9	-0.005299340621952808
1110	10-14	0.16707766238033628
1110	15-19	0.09944790395048386
1110	20-24	-0.06917845093846609
1110	25-29	0.037231342436598425
1110	30-34	0.021475138451293674
1110	35-39	-0.1260061353869233
1110	40-44	-0.023054772358420905
1110	45-49	0.03462145993778876
1110	50-54	-8.37811815024736E-4
1110	55-59	-0.02287731711089691
1110	60-64	-0.006622877355852097
1110	65-69	0.1262833377090331
1110	70-74	0.1454082403405721
1110	75-79	0.142480352329855
1110	80-84	0.3034217181084671
1110	85-89	0.002580750978189883
1110	90-94	0.049234799051802725
1110	95-99	0.0858273453802667
1110	100-104	0.04574553389912239
1110	105-109	0.10911689303259209
1110	110-114	-0.10429556069438206
1110	115-119	0.35051610954138823
1110	120-124	0.23815801130146497
1110	125-129	0.3340283575358143
1110	130-134	0.2883624377382432
1110	135-139	0.42852020911195865
1110	140-144	0.11069695689356251
1110	145-149	0.2483653337403524
1110	150-154	-0.0044184209005777575
1110	155-159	0.093444902060277
1110	160-164	0.2811907955658697
1110	165-169	0.09486742797982828
1110	170-174	0.10649789871552429
1110	175-179	0.19084349127977873
1110	180-184	0.2015657411170082
1110	185-189	0.32289823972620724
1110	190-194	0.5901670024329206
1110	195-199	0.4402267087043299
1110	200-204	0.5998275463085534
1110	205-209	0.5376929208176691
1110	210-214	0.7020759193124633
1110	215-219	0.8409776191832421
1110	220-224	0.628716899414691
1110	225-229	0.15302158657431164
1110	230-234	0.5715653300567496
1110	235-239	0.02392812832087543
1110	240-244	-0.34684672676678474
1110	245-249	0.5002279074737714
1110	250-254	0.7915503104040411
1110	255-259	-0.10144455347026593
1110	260-264	0.8591580396592562
1110	265-269	1.40356935081088
1110	270-274	0.5752011255351768
1110	275-279	0.704749672333481
1110	280-284	0.5262081353941035
1110	285-289	0.6390378023608321
1110	290-294	0.5185881703896911
1110	295-299	0.6338473132365721
1110	300-304	0.5661801319397917
1110	305-309	0.20330443151041067
1110	310-314	-0.021842290258966557
1110	315-319	0.5006225688524211
