"sample.id","Location","Type","Abditibacteriota","Acidobacteriota","Actinobacteriota","Altiarchaeota","Armatimonadota","Arthropoda","Ascomycota","Asgardarchaeota","Bacteroidota","Basidiomycota","Bdellovibrionota","Caldatribacteriota","Caldisericota","Campilobacterota","Cercozoa","Chloroflexi","Ciliophora","Cloacimonadota","Crenarchaeota","Cyanobacteria","Deinococcota","Dependentiae","Desulfobacterota","Diatomea","Elusimicrobiota","Entotheonellaeota","Euryarchaeota","Fibrobacterota","Firestonebacteria","Firmicutes","Fusobacteriota","Gemmatimonadota","Halobacterota","Hydrogenedentes","Latescibacterota","Margulisbacteria","Methylomirabilota","Myxococcota","Nanoarchaeota","Nitrospinota","Nitrospirota","Patescibacteria","Phragmoplastophyta","Planctomycetota","Proteobacteria","Spirochaetota","Sumerlaeota","Synergistota","Thermoplasmatota","Verrucomicrobiota","Zixibacteria"
"CaS1","Catriona snow","Other","0.00000000","0.01961630","0.06229791","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.02241862","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.16156499","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.73410218","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"CaS2","Catriona snow","Other","0.00000000","0.02243884","0.06290234","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.03126724","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.20204157","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.68135001","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"CaS3","Catriona snow","Other","0.00000000","0.02419562","0.06100386","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.02582583","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.18730159","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.70167310","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"CaS4","Catriona snow","Other","0.00000000","0.00000000","0.04700855","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.01864802","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.22261072","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.71173271","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"CaS5","Catriona snow","Other","0.00000000","0.00000000","0.02180549","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.40427388","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.04143044","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.05582207","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.47666812","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"CaS6","Catriona snow","Other","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.4720946","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.5279054","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000"
"CaS7","Catriona snow","Other","0.000000000","0.000000000","0.043384532","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.057756220","0.000000000","0.000000000","0.000000000","0.000000000","0.003233630","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.674660918","0.032515944","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.024880984","0.000000000","0.000000000","0.161412018","0.000000000","0.000000000","0.002155753","0.000000000","0.000000000","0.000000000"
"CaS8","Catriona snow","Other","0.0000000000","0.0067895247","0.0361299709","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.3903976722","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0009699321","0.0000000000","0.0000000000","0.0000000000","0.0526188167","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.5123666343","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0007274491","0.0000000000"
"CaS9","Catriona snow","Other","0.000000000","0.000000000","0.011289582","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.189811840","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.022762735","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.002661771","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.773474071","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000"
"CaS10","Catriona snow","Other","0.000000000","0.007103394","0.017758485","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.333464878","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.641673244","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000"
